ticker,status,samples,train_samples,test_samples,features,accuracy,cumulative_return,avg_return,volatility,sharpe_ratio,top_features,has_options
AAPL,success,453,362,91,14,0.5274725274725275,-0.22030977501877055,-0.0024209865386678082,0.025827860561458065,-0.09373546573503476,"['ATR_14', 'OBV', 'CCI_20', 'MACD', 'RSI_14']",False
MSFT,success,453,362,91,14,0.45054945054945056,-0.04786171976129132,-0.0005259529644097947,0.012193396620668094,-0.04313424558980491,"['ATR_14', 'OBV', 'Stoch_%K', 'MACD', 'CCI_20']",False
GOOGL,success,453,362,91,14,0.4835164835164835,0.02304342850697655,0.00025322448908765436,0.02262063389570647,0.011194402873728393,"['CCI_20', 'Stoch_%K', 'ATR_14', 'OBV', 'Stoch_%D']",False
AMZN,success,453,362,91,14,0.5164835164835165,0.05655297850438218,0.000621461302245958,0.02179824960522035,0.02850968832364996,"['RSI_14', 'CCI_20', 'Stoch_%D', 'OBV', 'MACD_Signal']",False
NVDA,success,453,362,91,14,0.5164835164835165,-0.19336773153848874,-0.0021249201267965795,0.03428873382797354,-0.061971379213280275,"['OBV', 'Stoch_%D', 'MACD_Signal', 'CCI_20', 'BB_Upper']",False
TSLA,success,453,362,91,14,0.5274725274725275,-0.10974312321539725,-0.0012059683869823873,0.03110742762322122,-0.03876785961183593,"['OBV', 'CCI_20', 'Stoch_%K', 'BB_Lower', 'RSI_14']",False
JPM,success,453,362,91,14,0.4835164835164835,-0.022220634072537875,-0.0002441827920059107,0.011785797897738388,-0.020718392944169495,"['MACD_Signal', 'MACD', 'ATR_14', 'CCI_20', 'BB_Upper']",False
BAC,success,453,362,91,14,0.5274725274725275,0.02845419902077697,0.0003126835057228238,0.00846504085330095,0.0369382157914681,"['ATR_14', 'OBV', 'Stoch_%D', 'RSI_14', 'MACD']",False
JNJ,success,453,362,91,14,0.43956043956043955,0.0041169432336773185,4.524113443601449e-05,0.001236657265828875,0.03658340567440197,"['RSI_14', 'MA_50', 'Stoch_%D', 'OBV', 'CCI_20']",False
PFE,success,453,362,91,14,0.6043956043956044,-0.1630465184937571,-0.0017917199834478802,0.012974913161806849,-0.13809109634136238,"['OBV', 'RSI_14', 'Stoch_%K', 'BB_Lower', 'CCI_20']",False
KO,success,453,362,91,14,0.4835164835164835,-0.0038226782386652433,-4.2007453172145533e-05,0.002879227040158451,-0.014589836989664337,"['ATR_14', 'CCI_20', 'OBV', 'RSI_14', 'MACD_Signal']",False
PG,success,453,362,91,14,0.45054945054945056,0.016038022436926147,0.00017624200480138624,0.0022810277751657442,0.07726429582321949,"['Stoch_%K', 'ATR_14', 'OBV', 'Stoch_%D', 'MACD_Signal']",False
WMT,success,453,362,91,14,0.5934065934065934,0.12754264451401565,0.0014015675221320401,0.01600365710851906,0.08757795250349111,"['CCI_20', 'ATR_14', 'RSI_14', 'Stoch_%K', 'Stoch_%D']",False
XOM,success,453,362,91,14,0.4835164835164835,-0.01172452601017807,-0.00012884094516679197,0.010440493791092085,-0.01234050302072112,"['OBV', 'Stoch_%D', 'ATR_14', 'MACD', 'BB_Lower']",False
CVX,success,453,362,91,14,0.4945054945054945,0.06686690139329715,0.0007348011142120566,0.007543271207298946,0.0974114669907474,"['ATR_14', 'OBV', 'Stoch_%K', 'EMA_50', 'BB_Upper']",False
